Ind;fameff;bloc;PU;rg;n;fam;trait;oid4_09;oid5_10;oid5_11;oid4_12;gel_13;oid2_13;oid_16;oid_17;pgland;date_em;Hfin09;Hfin10;Hfin11;Hfin12;Hdeb14;Hdeb15;Hdeb16;Hdeb17;diam16;an_mort;H09v;H10v;H11v;H12v;H14v;H15v;H16v;H17v;exp;oid_moy;survie2017
A3E32;71;1;3;5;32;1;renf;;;;;;;;;6.7;;;;;;;;;;;g;;;;;;;;;exp;;
A3E33;70;1;3;5;33;70;renf;40;45.6;58;12;0;5;;;5.4;153;18;26;25;29;8;0;0;0;;2015;18;26;25;29;8;;;;exp;32.12;0
A3E34;75;1;3;5;34;9;renf;50;40.6;35;8;1;25;100;15;1.8;135;22;24;35;39;26;29;10;6;10.6;vivant;22;24;35;39;26;29;10;6;exp;31.72;1
A3E35;1;1;3;5;35;1;renf;40;42.8;65;15;0;5;85;15;6.2;135;21;31;38;51.5;53;55;57;58;15.5;vivant;21;31;38;51.5;53;55;57;58;exp;33.56;1
A3E36;51;1;3;5;36;51;renf;;;;;;;;;2.1;;;;;;;;;;;g;;;;;;;;;exp;;
A3E4;11;1;3;5;4;11;renf;10;41.575;44;8;1;25;75;4;4.7;135;8;23;26;31;15;16;19;15;11.4;vivant;8;23;26;31;15;16;19;15;exp;25.715;1
A3E5;1;1;3;5;5;1;renf;70;52.525;73;11;0;25;80;5;6.7;153;19;23;28;28;13;28;33;30;7.4;vivant;19;23;28;28;13;28;33;30;exp;46.305;1
A3E6;27;1;3;5;6;27;renf;40;39.2;39;3;1;50;90;0;5.3;153;16;22;21;19;18;22;18;5;5.1;vivant;16;22;21;19;18;22;18;5;exp;34.24;1
A3E7;73;1;3;5;7;73;renf;60;40.5;30;12.5;1;50;100;10;3.6;135;18.5;25;35;37;28;24;24;12;15.6;vivant;18.5;25;35;37;28;24;24;12;exp;38.6;1
A3E9;72;1;3;5;9;72;renf;30;44.125;68;12.5;1;25;95;;5.2;135;22.5;31;32;32.5;7;11;2;0;9;2017;22.5;31;32;32.5;7;11;2;;exp;35.925;0
A3H10;70;1;3;8;10;70;renf;30;14;78;1.5;1;25;85;2;4.5;153;12;15;26;29;18;22;25;28;7.6;vivant;12;15;26;29;18;22;25;28;exp;29.7;1
A3H11;27;1;3;8;11;27;renf;20;14;28;0;1;5;;;5.5;135;12;16;15;13;6;0;0;0;;2015;12;16;15;13;6;;;;exp;13.4;0
A3H12;76;1;3;8;12;76;renf;20;16.75;78;22.5;0;5;90;3;5;153;10;10;12;10;9;8;12;11;2.5;vivant;10;10;12;10;9;8;12;11;exp;28.45;1
A3H13;75;1;3;8;13;75;renf;30;20;34;12;1;5;90;;2.4;135;9.5;17;30;34;12;8;15;16;10;vivant;9.5;17;30;34;12;8;15;16;exp;20.2;1
A3H14;48;1;3;8;14;48;renf;;;;;;;;;2.4;;;;;;;;;;;g;;;;;;;;;exp;;
A3H15;11;1;3;8;15;11;renf;;;;;;;;;2.3;;;;;;;;;;;g;;;;;;;;;exp;;
A3H16;75;1;3;8;16;75;renf;40;27;55;13.5;1;25;;;4.1;135;13;28;56;63;7;0;0;0;;2015;13;28;56;63;7;;;;exp;32.1;0
A3H17;51;1;3;8;17;51;renf;10;20;27;12;1;25;95;0;5.3;224;4;9;16;24;17;6;10;8;4.7;vivant;4;9;16;24;17;6;10;8;exp;18.8;1
A3H18;48;1;3;8;18;48;renf;;;;;;;;;4.2;;;;;;;;;;;g;;;;;;;;;exp;;
A3H19;51;1;3;8;19;51;renf;40;18;46;8.25;1;25;85;30;7.3;153;18;26;44;44;39;47;51;52;15;vivant;18;26;44;44;39;47;51;52;exp;27.45;1
A3H2;76;1;3;8;2;76;renf;10;30.3;80;8;0;0;100;;3;135;6;10;9;6;5;6;7;0;2.3;2017;6;10;9;6;5;6;7;;exp;25.66;0
A3H20;48;1;3;8;20;48;renf;;;;;;;;;4.1;;;;;;;;;;;g;;;;;;;;;exp;;
A3H21;76;1;3;8;21;76;renf;30;31.25;60;16;0;5;90;4;6.2;135;18.5;33;47;53;47;35;36;40;10.4;vivant;18.5;33;47;53;47;35;36;40;exp;28.45;1
A3H22;48;1;3;8;22;48;renf;;;;;;;;;1.6;;;;;;;;;;;g;;;;;;;;;exp;;
A3H23;76;1;3;8;23;76;renf;10;25;70;47;0;0;90;3;6;153;8;14;17;13;16;16;20;20;3.1;vivant;8;14;17;13;16;16;20;20;exp;30.4;1
A3H24;71;1;3;8;24;71;renf;20;31.5;44;16;0;25;;;6.7;135;12.5;29;38;36;0;0;0;0;;2014;12.5;29;38;36;;;;;exp;27.3;0
A3H25;70;1;3;8;25;70;renf;20;38.90625;73;17;1;25;95;15;5.9;153;15;25;32;36;27;35;36;36;12;vivant;15;25;32;36;27;35;36;36;exp;34.78125;1
A3H26;77;1;3;8;26;77;renf;20;0;77;48;0;25;;;4.3;168;7;7;10;10;3;0;0;0;;2015;7;7;10;10;3;;;;exp;34;0
A3H27;51;1;3;8;27;51;renf;50;32.275;58;27;1;50;100;5;9.5;135;19;26;30;33.5;32;32;22;3;5.8;vivant;19;26;30;33.5;32;32;22;3;exp;43.455;1
A3H28;76;1;3;8;28;76;renf;40;32.5;73;9.5;0;5;85;3;4.7;168;13;17;21;26;37;33;41;47;7.5;vivant;13;17;21;26;37;33;41;47;exp;32;1
A3H29;11;1;3;8;29;11;renf;;;;;;;;;2.1;;;;;;;;;;;g;;;;;;;;;exp;;
A3H3;75;1;3;8;3;75;renf;50;31.25;45;6;1;25;80;2;4.4;135;13;22;30;34;8;13;16;6;2.1;vivant;13;22;30;34;8;13;16;6;exp;31.45;1
A3H31;1;1;3;8;31;1;renf;;;;;;;;;6;;;;;;;;;;;g;;;;;;;;;exp;;
A3H32;45;1;3;8;32;45;renf;;;;;;;;;2.5;;;;;;;;;;;g;;;;;;;;;exp;;
A3H33;74;1;3;8;33;74;renf;;;;;;;;;1.6;;;;;;;;;;;g;;;;;;;;;exp;;
A3H34;11;1;3;8;34;11;renf;;;;;;;;;1.3;;;;;;;;;;;g;;;;;;;;;exp;;
A3H35;1;1;3;8;35;1;renf;30;33.75;60;3;1;5;80;10;5.6;135;10;19;22;22.5;18;23;22;25;7;vivant;10;19;22;22.5;18;23;22;25;exp;26.35;1
A3H36;73;1;3;8;36;73;renf;30;45.375;80;45;0;;;;5.7;135;10;21;21;19;0;0;0;0;;2013;10;21;21;19;;;;;exp;;0
A3H37;45;1;3;8;37;45;renf;20;33.25;50;0;1;25;90;15;4;135;13;39;49;52;42;25;27;18;12.4;vivant;13;39;49;52;42;25;27;18;exp;25.65;1
A3H38;48;1;3;8;38;48;renf;20;42.5;47;15;1;25;100;35;5.7;135;13.5;31;36;40;33;33;37;36;16.6;vivant;13.5;31;36;40;33;33;37;36;exp;29.9;1
A3H4;9;1;3;8;4;9;renf;;;;;;;;;2.1;;;;;;;;;;;g;;;;;;;;;exp;;
A3H5;75;1;3;8;5;75;renf;50;35;33;0;1;50;;;4.5;135;10.5;19;23;21;6;4;0;0;;2016;10.5;19;23;21;6;4;;;exp;33.6;0
A3H6;70;1;3;8;6;70;renf;20;19;73;;;;;;4.1;224;9;13;11;0;0;0;0;0;;2012;9;13;11;;;;;;exp;;0
A3H7;9;1;3;8;7;9;renf;;;;;;;;;1.2;;;;;;;;;;;g;;;;;;;;;exp;;
A3H8;1;1;3;8;8;1;renf;20;28.5125;78;28;0;25;;;5.1;135;9;18;22;21;6;3;0;0;;2016;9;18;22;21;6;3;;;exp;35.9025;0
A3H9;72;1;3;8;9;72;renf;40;37.3375;50;3;0;5;80;0;5.2;168;21;22;30;30.5;32;25;23;19;8.6;vivant;21;22;30;30.5;32;25;23;19;exp;27.0675;1
A3I10;77;1;3;9;10;77;renf;30;29.8;73;11;0;25;;;4.8;135;9;33;34;33;0;0;0;0;;2014;9;33;34;33;;;;;exp;33.76;0
A3I11;9;1;3;9;11;9;renf;;;;;;;;;1.8;;;;;;;;;;;g;;;;;;;;;exp;;
A3I12;76;1;3;9;12;76;renf;40;28.75;88;70;0;0;80;;5.8;135;13;23;26;23.5;7;11;7;0;;2017;13;23;26;23.5;7;11;7;;exp;45.35;0
A3I13;71;1;3;9;13;71;renf;50;42.40625;49;19.5;1;25;85;20;7.5;135;24;44;64;72;73;76;67;65;14.8;vivant;24;44;64;72;73;76;67;65;exp;37.18125;1
A3I14;70;1;3;9;14;70;renf;30;45;57;45;0;25;80;10;5.2;224;12;30;38;38;36;37;35;26;11.6;vivant;12;30;38;38;36;37;35;26;exp;40.4;1
A3I15;74;1;3;9;15;74;renf;;;;;;;;;3.4;135;0;0;0;0;0;0;0;0;;2009;;;;;;;;;exp;;0
A3I16;48;1;3;9;16;48;renf;;;;;;;;;4.3;;;;;;;;;;;g;;;;;;;;;exp;;
A3I17;77;1;3;9;17;77;renf;30;17.5;70;35;0;25;85;5;4.4;135;9;15;34;40;36;11;14;7;16;vivant;9;15;34;40;36;11;14;7;exp;35.5;1
A3I18;72;1;3;9;18;72;renf;40;20;39;13.5;0;25;90;10;6.3;224;18;21;36;38;41;43;43;28;16.7;vivant;18;21;36;38;41;43;43;28;exp;27.5;1
A3I19;72;1;3;9;19;72;renf;30;12.5;48;16.5;0;5;30;5;4.2;269;6;18;20;24;12;10;7;5;4.9;vivant;6;18;20;24;12;10;7;5;exp;22.4;1
A3I2;73;1;3;9;2;73;renf;30;31.125;75;75.5;1;25;100;20;4;135;10.5;20;40;43;44;46;49;36;12.5;vivant;10.5;20;40;43;44;46;49;36;exp;47.325;1
A3I22;72;1;3;9;22;72;renf;30;26.375;52;11;1;25;90;15;5.2;135;19;26;36;42;39;39;42;44;16;vivant;19;26;36;42;39;39;42;44;exp;28.875;1
A3I24;11;1;3;9;24;11;renf;;;;;;;;;5.2;;;;;;;;;;;g;;;;;;;;;exp;;
A3I25;75;1;3;9;25;75;renf;0;26.25;39;9.5;1;50;;;2.7;186;4;9;17;30;6;0;0;0;;2015;4;9;17;30;6;;;;exp;24.95;0
A3I26;72;1;3;9;26;72;renf;50;44;67;14;0;25;90;30;4.1;135;13;30;39;41;51;51;56;63;15.2;vivant;13;30;39;41;51;51;56;63;exp;40;1
A3I27;27;1;3;9;27;27;renf;;;;;;;;;4.9;;;;;;;;;;;g;;;;;;;;;exp;;
A3I28;77;1;3;9;28;77;renf;;;;;;;;;2;;;;;;;;;;;g;;;;;;;;;exp;;
A3I29;72;1;3;9;29;72;renf;;;;;;;;;3.3;;;;;;;;;;;g;;;;;;;;;exp;;
A3I3;72;1;3;9;3;72;renf;20;25;57;0;1;25;85;7;4.5;135;13;28;37;40;34;26;19;22;9.2;vivant;13;28;37;40;34;26;19;22;exp;25.4;1
A3I30;9;1;3;9;30;9;renf;30;15.625;54;95;0;;;;3.4;135;17;25;24;29;0;0;0;0;;2013;17;25;24;29;;;;;exp;;0
A3I32;45;1;3;9;32;45;renf;40;24;68;9.5;1;25;90;25;6.7;135;19.5;27;43;55;61;63;61;64;17;vivant;19.5;27;43;55;61;63;61;64;exp;33.3;1
A3I33;76;1;3;9;33;76;renf;10;20;83;24;0;5;80;70;4.1;135;8;15;26;30;32;34;31;25;7;vivant;8;15;26;30;32;34;31;25;exp;28.4;1
A3I34;45;1;3;9;34;75;renf;30;20.25;35;13.5;1;50;;;3.8;135;12;18;23;27;7;0;0;0;;2015;12;18;23;27;7;;;;exp;29.75;0
A3I35;75;1;3;9;35;45;renf;10;40;52;3;1;25;70;15;6.8;135;13;27;42;43;40;32;31;34;14.3;vivant;13;27;42;43;40;32;31;34;exp;26;1
A3I36;74;1;3;9;36;74;renf;;;;;;;;;3.3;;;;;;;;;;;g;;;;;;;;;exp;;
A3I37;51;1;3;9;37;51;renf;;;;;;;;;5.3;;;;;;;;;;;g;;;;;;;;;exp;;
A3I38;70;1;3;9;38;70;renf;;;;;;;;;5.3;;;;;;;;;;;g;;;;;;;;;exp;;
A3I4;77;1;3;9;4;77;renf;30;28.4;36;3;0;25;20;5;4;135;11;15;21;25;9;12;15;5;1.7;vivant;11;15;21;25;9;12;15;5;exp;24.48;1
A3I5;48;1;3;9;5;48;renf;0;0;;;;;;;2.1;135;4;4;0;0;0;0;0;0;;2011;4;4;;;;;;;exp;;0
A3I6;73;1;3;9;6;73;renf;;;;;;;;;5.3;;;;;;;;;;;g;;;;;;;;;exp;;
A3I7;72;1;3;9;7;72;renf;;;;;;;;;3.8;;;;;;;;;;;g;;;;;;;;;exp;;
A3I8;72;1;3;9;8;72;renf;20;28;70;4.5;0;25;85;15;4.9;153;11;21;23;25;9;11;13;9;3.1;vivant;11;21;23;25;9;11;13;9;exp;29.5;1
A3J10;27;1;3;10;10;27;renf;50;31.9375;62;11;1;25;95;10;7.3;135;21;20;29;32;30;26;35;23;14.2;vivant;21;20;29;32;30;26;35;23;exp;35.9875;1
A3J11;72;1;3;10;11;72;renf;10;20.2;78;6;0;50;;;4.2;135;10;16;23;24;5;0;0;0;;2015;10;16;23;24;5;;;;exp;32.84;0
A3J12;1;1;3;10;12;1;renf;10;37;75;25.5;0;5;85;15;5.8;135;8;33;33;34;47;47;47;50;15.7;vivant;8;33;33;34;47;47;47;50;exp;30.5;1
A3J13;9;1;3;10;13;9;renf;;;;;;;;;2.1;;;;;;;;;;;g;;;;;;;;;exp;;
A3J14;71;1;3;10;14;72;renf;20;46.875;75;9;1;50;;;8.7;135;20.5;27;31.5;30;5;0;0;0;;2015;20.5;27;31.5;30;5;;;;exp;40.175;0
A3J15;27;1;3;10;15;27;renf;;;;;;;;;1.6;;;;;;;;;;;g;;;;;;;;;exp;;
A3J16;48;1;3;10;16;48;renf;20;15;63;4.5;1;25;100;15;5.2;135;14;19;23;24;25;22;24;27;9.8;vivant;14;19;23;24;25;22;24;27;exp;25.5;1
A3J17;71;1;3;10;17;71;renf;;;;;;;;;5.9;;;;;;;;;;;g;;;;;;;;;exp;;
A3J18;75;1;3;10;18;75;renf;;;;;;;;;2.7;;;;;;;;;;;g;;;;;;;;;exp;;
A3J19;45;1;3;10;19;45;renf;30;18;47;16.5;1;50;90;3;6;135;15;27;33;35;14;25;31;25;2.4;vivant;15;27;33;35;14;25;31;25;exp;32.3;1
A3J2;77;1;3;10;2;77;renf;;;;;;;;;2.7;;;;;;;;;;;g;;;;;;;;;exp;;
A3J20;27;1;3;10;20;27;renf;;;;;;;;;2.6;;;;;;;;;;;g;;;;;;;;;exp;;
A3J21;11;1;3;10;21;11;renf;;;;;;;;;2.4;;;;;;;;;;;g;;;;;;;;;exp;;
A3J22;77;1;3;10;22;77;renf;;;;;;;;;5;;;;;;;;;;;g;;;;;;;;;exp;;
A3J23;73;1;3;10;23;73;renf;;;;;;;;;3.7;;;;;;;;;;;g;;;;;;;;;exp;;
A3J24;11;1;3;10;24;11;renf;20;20;32;8;1;25;100;0;4;153;7;13;22;28;12;14;15;9;6.2;vivant;7;13;22;28;12;14;15;9;exp;21;1
A3J25;9;1;3;10;25;9;renf;;;;;;;;;3.3;;;;;;;;;;;g;;;;;;;;;exp;;
A3J27;71;1;3;10;27;71;renf;40;49;73;55;1;50;;;3.7;135;10;15;19;19;0;0;0;0;;2014;10;15;19;19;;;;;exp;53.4;0
A3J28;1;1;3;10;28;1;renf;30;29.8;45;0.6;0;5;90;20;5.5;153;14.5;39;42;43;47;55;61;63;19.1;vivant;14.5;39;42;43;47;55;61;63;exp;22.08;1
A3J29;75;1;3;10;29;75;renf;30;19;39;35;1;50;;;3.5;135;11;30;37;36;0;0;0;0;;2014;11;30;37;36;;;;;exp;34.6;0
A3J30;45;1;3;10;30;45;renf;30;31.125;58;32.5;1;25;100;3;6.2;135;15.5;27;31;33;33;38;36;38;13.2;vivant;15.5;27;31;33;33;38;36;38;exp;35.325;1
A3J31;72;1;3;10;31;72;renf;40;30;68;16.5;0;25;85;5;5.4;135;12;29;35;31;27;18;32;29;17.4;vivant;12;29;35;31;27;18;32;29;exp;35.9;1
A3J32;27;1;3;10;32;27;renf;;;;;;;;;1.4;;;;;;;;;;;g;;;;;;;;;exp;;
A3J33;70;1;3;10;33;70;renf;30;43.5625;68;8;0;25;75;15;4.1;135;21;22;22;23;13;18;19;15;8.9;vivant;21;22;22;23;13;18;19;15;exp;34.9125;1
A3J34;74;1;3;10;34;74;renf;;;;;;;;;3.4;;;;;;;;;;;g;;;;;;;;;exp;;
A3J35;45;1;3;10;35;45;renf;30;21.03125;63;3;0;50;;;6.6;135;16;25;35;38;0;0;0;0;;2014;16;25;35;38;;;;;exp;33.40625;0
A3J36;71;1;3;10;36;71;renf;;;;;;;;;5.9;;;;;;;;;;;g;;;;;;;;;exp;;
A3J37;77;1;3;10;37;77;renf;20;47.5;88;40;0;;;;6.7;135;15;32;34;31;0;0;0;0;;2013;15;32;34;31;;;;;exp;;0
A3J38;27;1;3;10;38;27;renf;40;43.75;47;0;1;25;;40;6.8;153;17;40;48;50;56;0;0;0;;2015;17;40;48;50;56;;;;exp;31.15;0
A3J4;70;1;3;10;4;70;renf;;;;;;;;;3.7;;;;;;;;;;;g;;;;;;;;;exp;;
A3J5;73;1;3;10;5;73;renf;;;;;;;;;2.6;;;;;;;;;;;g;;;;;;;;;exp;;
A3J6;70;1;3;10;6;70;renf;30;22.1;47;4;0;25;90;30;2.8;153;9;12;20;21;21;17;27;24;12.5;vivant;9;12;20;21;21;17;27;24;exp;25.62;1
A3J7;1;1;3;10;7;1;renf;10;30.25;68;0;0;25;70;15;4.1;135;11.5;21;24;25;17;16;22;20;13.6;vivant;11.5;21;24;25;17;16;22;20;exp;26.65;1
A3J8;71;1;3;10;8;71;renf;30;27;65;11;0;25;;;5.6;135;11;18;25;31;0;0;0;0;;2014;11;18;25;31;;;;;exp;31.6;0
A3J9;72;1;3;10;9;72;renf;30;39.2;78;12.5;1;25;100;;6.4;135;19;25;33;34.5;18;27;30;0;3;2017;19;25;33;34.5;18;27;30;;exp;36.94;0
A3K10;75;1;3;11;10;75;renf;20;10;43;10;1;25;80;5;2.7;153;7;16;33;33;18;21;34;29;8.2;vivant;7;16;33;33;18;21;34;29;exp;21.6;1
A3K11;1;1;3;11;11;1;renf;;;;;;;;;3.7;;;;;;;;;;;g;;;;;;;;;exp;;
A3K12;75;1;3;11;12;75;renf;50;31.25;52;42.5;1;50;95;10;4;153;15;23;31;33;13;15;17;19;8.9;vivant;15;23;31;33;13;15;17;19;exp;45.15;1
A3K13;77;1;3;11;13;77;renf;20;13.125;60;15;0;5;;;5.4;168;12;16;22;26;9;0;0;0;;2015;12;16;22;26;9;;;;exp;22.625;0
A3K14;48;1;3;11;14;48;renf;20;32.5;50;19.5;1;25;95;8;5.2;135;11;22;37;39;27;30;32;24;16.6;vivant;11;22;37;39;27;30;32;24;exp;29.4;1
A3K16;71;1;3;11;16;71;renf;;;;;;;;;5.5;;;;;;;;;;;g;;;;;;;;;exp;;
A3K17;1;1;3;11;17;1;renf;;;;;;;;;6.1;;;;;;;;;;;g;;;;;;;;;exp;;
A3K18;76;1;3;11;18;76;renf;20;26.375;53;17;0;25;95;5;4.9;135;15;13;22;35;29;56;53;27;12.1;vivant;15;13;22;35;29;56;53;27;exp;28.275;1
A3K19;1;1;3;11;19;1;renf;50;32.7875;39;12;0;25;80;0;5.9;224;15;17;26;27;25;31;35;35;8.5;vivant;15;17;26;27;25;31;35;35;exp;31.7575;1
A3K2;1;1;3;11;2;1;renf;40;40.625;57;6;1;25;85;35;6.1;135;9;24;36;38;40;37;43;48;12;vivant;9;24;36;38;40;37;43;48;exp;33.725;1
A3K20;51;1;3;11;20;51;renf;;;;;;;;;3.8;;;;;;;;;;;g;;;;;;;;;exp;;
A3K21;72;1;3;11;21;72;renf;30;37.5;52;6;0;25;95;10;5.8;135;19;22;24;23;16;17;16;25;2.2;vivant;19;22;24;23;16;17;16;25;exp;30.1;1
A3K22;73;1;3;11;22;73;renf;;;;;;;;;2.9;;;;;;;;;;;g;;;;;;;;;exp;;
A3K23;45;1;3;11;23;45;renf;;;;;;;;;3.1;;;;;;;;;;;g;;;;;;;;;exp;;
A3K24;51;1;3;11;24;51;renf;10;15;8;;;;;;6.9;135;5;11;13;0;0;0;0;0;;2012;5;11;13;;;;;;exp;;0
A3K25;74;1;3;11;25;74;renf;;;;;;;;;2.4;;;;;;;;;;;g;;;;;;;;;exp;;
A3K26;74;1;3;11;26;74;renf;20;17.5;39;;;;;;3.3;224;5;12;11;0;0;0;0;0;;2012;5;12;11;;;;;;exp;;0
A3K27;27;1;3;11;27;27;renf;;;;;;;;;4.6;;;;;;;;;;;g;;;;;;;;;exp;;
A3K28;48;1;3;11;28;48;renf;;;;;;;;;3.7;;;;;;;;;;;g;;;;;;;;;exp;;
A3K29;73;1;3;11;29;73;renf;30;37.0625;60;16;1;25;100;15;4.3;135;8;24;36;35;14;18;29;19;6.3;vivant;8;24;36;35;14;18;29;19;exp;33.6125;1
A3K3;76;1;3;11;3;76;renf;30;15.625;24;45;0;5;60;15;5.4;153;13.5;18;15;14;10;18;24;25;4.7;vivant;13.5;18;15;14;10;18;24;25;exp;23.925;1
A3K30;70;1;3;11;30;70;renf;40;41.5;60;1.5;1;25;90;10;3.1;153;12.5;21;30;29;22;20;28;27;8.2;vivant;12.5;21;30;29;22;20;28;27;exp;33.6;1
A3K31;74;1;3;11;31;74;renf;;;;;;;;;1.5;;;;;;;;;;;g;;;;;;;;;exp;;
A3K32;75;1;3;11;32;75;renf;20;45;54;48;1;50;;;3.1;135;9.5;17;22;15;0;0;0;0;;2014;9.5;17;22;15;;;;;exp;43.4;0
A3K33;51;1;3;11;33;51;renf;20;30.25;50;40;0;50;;;5;135;6;18;20;22;0;0;0;0;;2014;6;18;20;22;;;;;exp;38.05;0
A3K34;73;1;3;11;34;73;renf;60;40;65;11;0;50;;;5.8;135;19;30;31;32;5;0;0;0;;2015;19;30;31;32;5;;;;exp;45.2;0
A3K35;11;1;3;11;35;11;renf;;;;;;;;;3.8;;;;;;;;;;;g;;;;;;;;;exp;;
A3K36;73;1;3;11;36;73;renf;20;46.8;70;73.5;1;25;90;60;6.3;135;20;28;36;49;47;52;56;43;22.6;vivant;20;28;36;49;47;52;56;43;exp;47.06;1
A3K37;11;1;3;11;37;11;renf;20;12.5;88;0;1;50;;;3.9;135;8;11;14;15;0;0;0;0;;2014;8;11;14;15;;;;;exp;34.1;0
A3K38;71;1;3;11;38;71;renf;20;34.925;52;35;1;50;50;;7.8;135;15;47;55;57;54;11;22;0;1.9;2017;15;47;55;57;54;11;22;;exp;38.385;0
A3K4;9;1;3;11;4;9;renf;;;;;;;;;1.6;;;;;;;;;;;g;;;;;;;;;exp;;
A3K5;72;1;3;11;5;72;renf;20;52.05;20;4.5;0;5;70;10;4.8;135;10;41;49;51;46;43;29;21;13.7;vivant;10;41;49;51;46;43;29;21;exp;20.31;1
A3K6;75;1;3;11;6;75;renf;30;38.25;42;3;1;50;60;10;4.5;135;14;25;32;37;13;18;15;8;1.6;vivant;14;25;32;37;13;18;15;8;exp;32.65;1
A3K7;9;1;3;11;7;9;renf;;;;;;;;;3.6;;;;;;;;;;;g;;;;;;;;;exp;;
A3K8;11;1;3;11;8;11;renf;30;44.75;52;5.5;1;25;;;6.6;135;16.5;21;38;38;10;0;0;0;;2015;16.5;21;38;38;10;;;;exp;31.45;0
A3K9;11;1;3;11;9;11;renf;;;;;;;;;6.5;;;;;;;;;;;g;;;;;;;;;exp;;
B1B10;75;2;1;2;10;75;renf;20;47.25;62;22;1;50;95;20;4.2;153;18.5;27;58;63;62;14;22;34;10.8;vivant;18.5;27;58;63;62;14;22;34;exp;40.25;1
B1B11;76;2;1;2;11;76;renf;30;48.475;83;50;0;0;85;20;6.3;153;17;22;33;36;33;37;40;28;9.4;vivant;17;22;33;36;33;37;40;28;exp;42.295;1
B1B12;70;2;1;2;12;70;renf;10;39.2;78;11.5;1;25;95;4;4.5;153;12;35;40;43;7;18;21;4;11.5;vivant;12;35;40;43;7;18;21;4;exp;32.74;1
B1B13;27;2;1;2;13;27;renf;20;41.1;35;15;1;25;;;6.3;135;21;34;44;47.5;0;0;0;0;;2014;21;34;44;47.5;;;;;exp;27.22;0
B1B14;71;2;1;2;14;71;renf;;;;;;;;;5.1;;;;;;;;;;;g;;;;;;;;;exp;;
B1B15;11;2;1;2;15;11;renf;;;;;;;;;3.3;;;;;;;;;;;g;;;;;;;;;exp;;
B1B16;11;2;1;2;16;11;renf;;;;;;;;;2;;;;;;;;;;;g;;;;;;;;;exp;;
B1B17;76;2;1;2;17;76;renf;10;21.25;46;9;0;50;60;10;6.2;135;13.5;15;20;20;14;19;15;12;6.4;vivant;13.5;15;20;20;14;19;15;12;exp;27.25;1
B1B18;27;2;1;2;18;27;renf;20;49.8875;41;4.5;1;25;;;4.8;224;17.5;23;33;34;5;0;0;0;;2015;17.5;23;33;34;5;;;;exp;28.0775;0
B1B19;11;2;1;2;19;11;renf;;;;;;;;;4.4;;;;;;;;;;;g;;;;;;;;;exp;;
B1B2;75;2;1;2;2;75;renf;30;54;52;17.5;0;25;80;7;4.1;153;15;26;43;56;64;68;63;24;16.5;vivant;15;26;43;56;64;68;63;24;exp;35.7;1
B1B20;27;2;1;2;20;27;renf;20;50.6;46;17.5;0;50;;;5.7;135;15;24;28;31.5;0;0;0;0;;2014;15;24;28;31.5;;;;;exp;36.82;0
B1B21;76;2;1;2;21;76;renf;;;;;;;;;2.3;;;;;;;;;;;g;;;;;;;;;exp;;
B1B22;48;2;1;2;22;48;renf;10;21;56;31;0;25;;;4;153;9;12;24;24;0;0;0;0;;2014;9;12;24;24;;;;;exp;28.6;0
B1B23;74;2;1;2;23;74;renf;;;;;;;;;2.3;;;;;;;;;;;g;;;;;;;;;exp;;
B1B24;1;2;1;2;24;1;renf;20;44.2;78;31.5;1;5;60;5;6.8;153;12;28;25;38.5;42;43;31;29;15.7;vivant;12;28;25;38.5;42;43;31;29;exp;35.74;1
B1B25;73;2;1;2;25;73;renf;20;43.475;50;12.5;1;25;;;5.6;135;15;35;50;56.5;0;0;0;0;;2014;15;35;50;56.5;;;;;exp;30.195;0
B1B26;72;2;1;2;26;72;renf;;;;;;;;;3.5;;;;;;;;;;;g;;;;;;;;;exp;;
B1B27;9;2;1;2;27;9;renf;;;;;;;;;2.1;;;;;;;;;;;g;;;;;;;;;exp;;
B1B28;76;2;1;2;28;76;renf;5;31.6;95;67.5;0;25;40;0;4.9;153;12;18;24;21;19;13;16;2;5.9;vivant;12;18;24;21;19;13;16;2;exp;44.82;1
B1B29;72;2;1;2;29;72;renf;20;54.1625;36;7;1;25;90;3;6.1;186;17;42;59;64;62;66;61;6;15.3;vivant;17;42;59;64;62;66;61;6;exp;28.4325;1
B1B3;74;2;1;2;3;74;renf;;;;;;;;;2.3;;;;;;;;;;;g;;;;;;;;;exp;;
B1B30;76;2;1;2;30;76;renf;5;36;60;5.5;0;0;95;4;5.8;153;13;32;38;55;62;78;100;115;21.3;vivant;13;32;38;55;62;78;100;115;exp;21.3;1
B1B31;1;2;1;2;31;1;renf;20;35.2;75;30;0;25;70;10;5.6;153;10;17;27;26.5;23;31;39;36;5.1;vivant;10;17;27;26.5;23;31;39;36;exp;37.04;1
B1B32;72;2;1;2;32;72;renf;30;42.75;78;31;0;50;85;20;5.2;135;16;21;25;29.5;28;35;34;35;8;vivant;16;21;25;29.5;28;35;34;35;exp;46.35;1
B1B33;74;2;1;2;33;74;renf;20;36.5875;73;25;1;50;95;5;4.7;135;14;25;35;35.5;6;9;6;1;3.4;vivant;14;25;35;35.5;6;9;6;1;exp;40.9175;1
B1B34;9;2;1;2;34;9;renf;0;37.0625;64;27.5;1;50;;;3.1;153;8;15;21;23;6;3;2;0;;2017;8;15;21;23;6;3;2;;exp;35.7125;0
