Ind;fameff;bloc;PU;rg;n;fam;trait;oid4_09;oid5_10;oid5_11;oid4_12;gel_13;oid2_13;oid_16;oid_17;pgland;date_em;Hfin09;Hfin10;Hfin11;Hfin12;Hdeb14;Hdeb15;Hdeb16;Hdeb17;diam16;an_mort;H09v;H10v;H11v;H12v;H14v;H15v;H16v;H17v;exp;oid_moy;survie2017
A1C14;72;1;1;3;14;72;nat;40;47.5;80;60;0;25;;;5.6;135;30;28;28.5;20;0;0;0;0;;2014;30;28;28.5;20;;;;;exp;50.5;0
A1C16;72;1;1;3;16;72;nat;;;;;;;;;4.4;;;;;;;;;;;g;;;;;;;;;exp;;
A1C18;71;1;1;3;18;71;nat;40;46;58;11;1;50;;;7.4;135;21;35;38;40;0;0;0;0;;2014;21;35;38;40;;;;;exp;41;0
A1C19;75;1;1;3;19;75;nat;30;41.6;28;19;1;50;80;5;3.8;135;15;29;30;30;13;14;15;19;1.9;vivant;15;29;30;30;13;14;15;19;exp;33.72;1
A1C2;75;1;1;3;2;75;nat;40;43;32;22;1;25;75;30;3.6;135;19;20;38;37;40.5;41;42;41;9.9;vivant;19;20;38;37;40.5;41;42;41;exp;32.4;1
A1C20;72;1;1;3;20;72;nat;60;50.5;43;27;0;25;90;0;6.3;224;16.5;22;26;24;8.5;8;9;10;1.5;vivant;16.5;22;26;24;8.5;8;9;10;exp;41.1;1
A1C22;70;1;1;3;22;70;nat;30;49.5;73;11;1;50;100;;5.9;135;13;21;28;31;7;17;10;0;2.1;2017;13;21;28;31;7;17;10;;exp;42.7;0
A1C23;51;1;1;3;23;51;nat;;;;;;;;;3.4;;;;;;;;;;;g;;;;;;;;;exp;;
A1C24;73;1;1;3;24;73;nat;;;;;;;;;3.3;;;;;;;;;;;g;;;;;;;;;exp;;
A1C25;1;1;1;3;25;1;nat;10;42.8;65;0;0;0;30;0;5.9;153;14;18;23;22;21;15;9;17;3.2;vivant;14;18;23;22;21;15;9;17;exp;23.56;1
A1C27;48;1;1;3;27;48;nat;;;;;;;;;2.9;;;;;;;;;;;g;;;;;;;;;exp;;
A1C28;70;1;1;3;28;70;nat;10;42.4;52.5;6;0;5;90;15;6.4;135;17;36;40;43;39;45;50;54;12.7;vivant;17;36;40;43;39;45;50;54;exp;23.18;1
A1C29;1;1;1;3;29;1;nat;20;53.6;45;22;0;5;100;0;5.8;135;23;29;42;47;30;32;37;20;8.9;vivant;23;29;42;47;30;32;37;20;exp;29.12;1
A1C3;1;1;1;3;3;1;nat;70;53.6;75.5;20;0;5;90;15;5.4;135;16;31;40;42;44;46;40;47;7.9;vivant;16;31;40;42;44;46;40;47;exp;44.82;1
A1C32;1;1;1;3;32;1;nat;10;37.3125;41;6;1;25;;;6;168;8.5;28;37;38;0;0;0;0;;2014;8.5;28;37;38;;;;;exp;23.8625;0
A1C33;74;1;1;3;33;74;nat;;;;;;;;;6.2;;;;;;;;;;;g;;;;;;;;;exp;;
A1C34;76;1;1;3;34;76;nat;5;31.6;88;31;0;5;85;15;5.5;168;10;15;27;31;31;30;16;25;3.1;vivant;10;15;27;31;31;30;16;25;exp;32.12;1
A1C35;48;1;1;3;35;48;nat;;;;;;;;;3;;;;;;;;;;;g;;;;;;;;;exp;;
A1C36;70;1;1;3;36;70;nat;10;16.4;60;16;1;25;;;4.7;224;7;15;25;26;0;0;0;0;;2014;7;15;25;26;;;;;exp;25.48;0
A1C38;71;1;1;3;38;71;nat;20;37;50;8;0;50;;;7.6;135;14;26;50;46;0;0;0;0;;2014;14;26;50;46;;;;;exp;33;0
A1C4;71;1;1;3;4;71;nat;70;42.4;33;18;1;25;100;35;6.3;135;14;27;35;35;13;13;21;24;2.2;vivant;14;27;35;35;13;13;21;24;exp;37.68;1
A1C40;77;1;1;3;40;77;nat;20;36.775;50.5;6;0;25;65;20;4.4;153;16.5;34;32;31;22;29;34;35;8.4;vivant;16.5;34;32;31;22;29;34;35;exp;27.655;1
A1C41;72;1;1;3;41;72;nat;5;27;55;6;1;25;70;0;5.7;135;19;19;22;20;0;21;21;15;3.8;2014;19;19;22;20;;21;21;15;exp;23.6;0
A1C44;71;1;1;3;44;71;nat;20;31.125;51;3;0;25;30;0;5.5;135;26;36;50;47;11;15;14;12;2.8;vivant;26;36;50;47;11;15;14;12;exp;26.025;1
A1C45;76;1;1;3;45;76;nat;40;37;83;95;0;50;;;5.8;135;13.5;25;25;11;0;0;0;0;;2014;13.5;25;25;11;;;;;exp;61;0
A1C47;75;1;1;3;47;75;nat;20;44.9;16;3;0;50;;;3.1;135;16;31;38;38;0;0;0;0;;2014;16;31;38;38;;;;;exp;26.78;0
A1C5;51;1;1;3;5;51;nat;40;26.375;23;19;1;25;90;15;8.5;135;20.5;32;31;36;35;36.5;34;34;8.8;vivant;20.5;32;31;36;35;36.5;34;34;exp;26.675;1
A1C6;75;1;1;3;6;75;nat;;;;;;;;;2.5;;;;;;;;;;;g;;;;;;;;;exp;;
