family	family_ncorr	pb_robot_SNPage	Index	Sample ID	Call Rate	Gender	p05 Grn	p50 Grn	p95 Grn	p05 Red	p50 Red	p95 Red	p10 GC	p50 GC	Rep Error Rate	PC Error Rate	PPC Error Rate	Aux	Genotype	Score	Subset	Array Info.Sentrix ID	Array Info.Sentrix Position
1	1ncorr	0	790	B00D6SJ	0.9433594	Unknown	1534	6839	26084	2494	13777	36425	0.4268218	0.7463323	 	0.004140787	 	0		0.00		5709351039	R02C02
11	11ncorr	0	791	B00D6SS	0.9244792	Unknown	1392	7167	27681	1944	12220	33925	0.4397613	0.750929	 	0.003521127	 	0		0.00		5709351039	R02C03
8	8ncorr	0	792	B00D6T0	0.9348958	Unknown	1369	6555	24337	2016	11173	31949	0.437176	0.7488573	 	0.006267409	 	0		0.00		5709351039	R02C04
3	3ncorr	0	793	B00D6QL	0.9511719	Unknown	2071	8470	29424	3096	15453	36308	0.4118257	0.7434632	 	0.004106776	 	0		0.00		5709351001	R03C01
2	2ncorr	0	794	B00D6QT	0.9427083	Unknown	2160	9832	30871	2845	14126	35042	0.4367457	0.7510771	 	 	0.01312155	0		0.00		5709351001	R03C02
14	14ncorr	0	795	B00D6QZ	0.9420573	Unknown	1841	8394	29894	2796	15124	36918	0.4328513	0.75049	 	0.00414651	 	0		0.00		5709351001	R03C03
11	11ncorr	0	796	B00D6R7	0.9401042	Unknown	1710	7736	29086	2533	14045	34603	0.4367948	0.7483567	 	0.004155125	 	0		0.00		5709351001	R03C04
8	8ncorr	0	797	B00D6RE	0.9446614	Unknown	1640	6796	27357	2735	14425	36064	0.4307801	0.7488737	 	0.005513439	 	0		0.00		5709351029	R03C01
2famoz_3P	3P	0	798	B00D7MM	0.9420573	Unknown	1584	7332	27614	2528	14843	36269	0.440491	0.7509004	 	 	 	0		0.00		5709351029	R03C02
6	6ncorr	0	799	B00D6RU	0.9303386	Unknown	1476	6504	25298	2322	12280	32769	0.4501286	0.7517579	 	0.00419874	 	0		0.00		5709351029	R03C03
2famoz_3P	3P	0	800	B00D7MM	0.9368489	Unknown	1632	7187	25759	2562	14181	35226	0.4335687	0.7407921	 	 	 	0		0.00		5709351029	R03C04
5	5ncorr	0	801	B00D6SA	0.9309896	Unknown	1553	7146	26746	2399	13358	34826	0.4362556	0.742129	 	0.004195804	 	0		0.00		5709351039	R03C01
11	11ncorr	0	802	B00D6SK	0.9381511	Unknown	1479	7007	26808	2374	14179	36554	0.4308108	0.7488737	 	0.003469813	 	0		0.00		5709351039	R03C02
15	15ncorr	0	803	B00D6ST	0.9264323	Unknown	1451	6661	24736	2205	12409	32071	0.4311247	0.7388682	 	0.003513703	 	0		0.00		5709351039	R03C03
8	8ncorr	0	804	B00D6T1	0.9375	Unknown	1285	6015	22133	2301	13098	33793	0.4388842	0.7469525	 	0.004861111	 	0		0.00		5709351039	R03C04
2	2ncorr	0	805	B00D6QM	0.9511719	Unknown	2394	10359	34277	3264	16269	38618	0.4371668	0.7488737	 	 	0.0109514	0		0.00		5709351001	R04C01
WATER	WATER	0	806	WATER	0.09700521	Unknown	305	642	4760	398	890	9757	0.2975546	0.5439842	 	 	 	0		0.00		5709351001	R04C02
6	6ncorr	0	807	B00D6R0	0.9427083	Unknown	1664	7514	29363	2604	14662	36048	0.4307652	0.7488573	 	0.003453039	 	0		0.00		5709351001	R04C03
11	11ncorr	0	808	B00D6R8	0.9440104	Unknown	1880	7247	29431	2831	14344	36158	0.4308206	0.7488573	 	0.002758621	 	0		0.00		5709351001	R04C04
6	6ncorr	0	809	B00D6RF	0.9388021	Unknown	1542	7025	27387	2507	13560	35996	0.4380787	0.7508479	 	0.004854369	 	0		0.00		5709351029	R04C01
12	12ncorr	0	810	B00D6RM	0.9381511	Unknown	1036	4950	19669	1724	9112	27160	0.4422578	0.7513749	 	0.0055517	 	0		0.00		5709351029	R04C02
9	9ncorr	0	811	B00D6RV	0.9348958	Unknown	1346	6522	27046	2412	14878	38224	0.4406087	0.7514639	 	0.004178273	 	0		0.00		5709351029	R04C03
98	98ncorr	0	812	B00D6S2	0.9355469	Unknown	1636	6236	28488	2257	10448	33586	0.4389678	0.7475537	 	 	 	0		0.00		5709351029	R04C04
2	2ncorr	0	813	B00D6SB	0.9407552	Unknown	1342	6356	25095	2377	13410	34860	0.4364358	0.75049	 	 	0.01107266	0		0.00		5709351039	R04C01
5	5ncorr	0	814	B00D6SM	0.9361979	Unknown	1415	7174	25983	2239	13235	35754	0.4412709	0.7514639	 	0.003477051	 	0		0.00		5709351039	R04C02
6	6ncorr	0	815	B00D6SU	0.9335938	Unknown	1377	7106	26658	2023	11728	34001	0.4409484	0.7514639	 	0.0041841	 	0		0.00		5709351039	R04C03
11	11ncorr	0	816	B00D6T3	0.8821614	Unknown	1052	3865	15642	1801	9240	26975	0.3757065	0.691933	 	0.004428044	 	0		0.00		5709351039	R04C04
2	2ncorr	0	817	B00D6QN	0.9511719	Unknown	1953	7960	30001	3169	16976	39495	0.4327132	0.7488737	 	 	0.0109514	0		0.00		5709351001	R05C01
6	6ncorr	0	818	B00D6QU	0.9459636	Unknown	1849	7578	30872	2798	14944	36760	0.4312973	0.7487355	 	0.002752925	 	0		0.00		5709351001	R05C02
4	4ncorr	0	819	B00D6R1	0.9433594	Unknown	1864	8226	31250	2943	16060	38349	0.4378736	0.7493241	 	0.004830918	 	0		0.00		5709351001	R05C03
3famoz_A4	A4	0	820	B00D7MH	0.9433594	Unknown	1998	8670	31439	3011	16264	38222	0.4309691	0.7513589	 	0.00	0.00	0		0.00		5709351001	R05C04
6	6ncorr	0	821	B00D6RG	0.9394531	Unknown	1758	6911	28816	2643	13825	35880	0.4320346	0.7507953	 	0.002772003	 	0		0.00		5709351029	R05C01
15	15ncorr	0	822	B00D6RN	0.9388021	Unknown	1546	7634	28560	2220	12766	34952	0.4420197	0.7506427	 	0.002773925	 	0		0.00		5709351029	R05C02
3	3ncorr	0	823	B00D6RW	0.9381511	Unknown	1803	8424	29663	2394	12917	35376	0.4408299	0.7509004	 	0.004163775	 	0		0.00		5709351029	R05C03
1	1ncorr	0	824	B00D6S3	0.9381511	Unknown	760	3774	16856	1407	8293	22353	0.440751	0.7488737	 	0.006245663	 	0		0.00		5709351029	R05C04
8	8ncorr	0	825	B00D6SC	0.9440104	Unknown	1624	6689	27325	2579	14114	36168	0.437945	0.7508453	 	0.004827586	 	0		0.00		5709351039	R05C01
6	6ncorr	0	826	B00D6SN	0.9433594	Unknown	1417	6515	25978	2132	12795	33361	0.4331007	0.7482695	 	0.003450656	 	0		0.00		5709351039	R05C02
15	15ncorr	0	827	B00D6SV	0.9355469	Unknown	1619	7943	26822	2341	13179	34713	0.4456147	0.7513589	 	0.004175365	 	0		0.00		5709351039	R05C03
7	7ncorr	0	828	B00D6T4	0.9329427	Unknown	1297	5955	23032	2295	13410	34331	0.4404482	0.7491901	 	0.005582693	 	0		0.00		5709351039	R05C04
15	15ncorr	0	829	B00D6QO	0.9479167	Unknown	2030	9503	32374	2895	15786	38717	0.4307464	0.7503788	 	0.004807692	 	0		0.00		5709351001	R06C01
16	16ncorr	0	830	B00D6QV	0.9446614	Unknown	1952	8177	32088	2948	16071	39078	0.4290835	0.7502677	 	0.01102688	 	0		0.00		5709351001	R06C02
2	2ncorr	0	831	B00D6R2	0.9414063	Unknown	1771	7854	29458	2722	15106	36580	0.4368361	0.7514639	 	 	0.01383126	0		0.00		5709351001	R06C03
11	11ncorr	0	832	B00D6R9	0.9472656	Unknown	1861	8149	31811	2969	17145	39622	0.4403122	0.75049	 	0.007560138	 	0		0.00		5709351001	R06C04
1	1ncorr	0	833	B00D6RH	0.9375	Unknown	1335	6103	25643	2179	13644	35438	0.4453403	0.7506427	 	0.00625	 	0		0.00		5709351029	R06C01
16	16ncorr	0	834	B00D6RO	0.9420573	Unknown	1491	6983	28013	2482	15226	38146	0.4390128	0.7513589	 	0.00276434	 	0		0.00		5709351029	R06C02
1	1ncorr	0	835	B00D6RX	0.9355469	Unknown	1561	7369	28878	2539	14025	39053	0.4399919	0.7515529	 	0.004871259	 	0		0.00		5709351029	R06C03
5	5ncorr	0	836	B00D6S4	0.9388021	Unknown	1507	7611	28800	2423	14933	38253	0.4436891	0.7511296	 	0.0006934813	 	0		0.00		5709351029	R06C04
11	11ncorr	0	837	B00D6SD	0.9401042	Unknown	1524	6905	27961	2201	12785	33768	0.4381413	0.7488573	 	0.005540166	 	0		0.00		5709351039	R06C01
9	9ncorr	0	838	B00D6SO	0.9401042	Unknown	1479	6238	25463	2462	13642	35566	0.4360891	0.7493432	 	0.002770083	 	0		0.00		5709351039	R06C02
7	7ncorr	0	839	B00D6SW	0.9420573	Unknown	1522	6867	26674	2750	15946	38371	0.4408068	0.75049	 	0.00414651	 	0		0.00		5709351039	R06C03
14	14ncorr	0	840	B00D6T5	0.9414063	Unknown	1287	6514	24585	2400	15162	37359	0.4352867	0.7514639	 	0.006224066	 	0		0.00		5709351039	R06C04
2	2ncorr	0	841	B00D6QP	0.9492188	Unknown	1985	8485	31638	3264	17907	40515	0.4309601	0.749824	 	 	0.01234568	0		0.00		5709351001	R07C01
3famoz_A4	A4	0	842	B00D7MH	0.9466146	Unknown	1642	7647	28827	2510	14919	35686	0.4333266	0.7503788	 	0.00	0.00	0		0.00		5709351001	R07C02
2	2ncorr	0	843	B00D6R3	0.9433594	Unknown	1612	7058	27475	2395	13085	32951	0.4393643	0.75049	 	 	0.01311249	0		0.00		5709351001	R07C03
11	11ncorr	0	844	B00D6RA	0.9472656	Unknown	1475	7015	28995	2391	14829	36105	0.4307964	0.7493241	 	0.004123711	 	0		0.00		5709351001	R07C04
12	12ncorr	0	845	B00D6RI	0.9433594	Unknown	1732	7807	29131	2843	14399	38931	0.4426642	0.7488737	 	0.005521049	 	0		0.00		5709351029	R07C01
2	2ncorr	0	846	B00D6RP	0.9414063	Unknown	1541	8147	29252	2230	13949	36993	0.4383908	0.7514639	 	 	0.009681881	0		0.00		5709351029	R07C02
2	2ncorr	0	847	B00D6RY	0.9388021	Unknown	1571	7383	28238	2534	14590	36463	0.4411994	0.7514639	 	 	0.01733703	0		0.00		5709351029	R07C03
5	5ncorr	0	848	B00D6S6	0.9375	Unknown	1178	6087	25013	2079	14058	36840	0.4433666	0.7513669	 	0.002083333	 	0		0.00		5709351029	R07C04
1	1ncorr	0	849	B00D6SE	0.9401042	Unknown	1419	6161	26071	2392	13046	36802	0.4380615	0.7506427	 	0.005540166	 	0		0.00		5709351039	R07C01
11	11ncorr	0	850	B00D6SP	0.9348958	Unknown	1130	5305	24055	2329	15288	37089	0.4357746	0.751745	 	0.009052925	 	0		0.00		5709351039	R07C02
11	11ncorr	0	851	B00D6SX	0.9394531	Unknown	1452	6418	26387	2555	15076	37748	0.43934	0.7507953	 	0.006237006	 	0		0.00		5709351039	R07C03
13	13ncorr	0	852	B00D6T6	0.9407552	Unknown	1198	6353	24581	1909	12361	32923	0.4373634	0.75049	 	0.002076125	 	0		0.00		5709351039	R07C04
2	2ncorr	0	853	B00D6QQ	0.9472656	Unknown	1823	8192	30948	3078	18019	39925	0.4309723	0.75049	 	 	0.009621993	0		0.00		5709351001	R08C01
7	7ncorr	0	854	B00D6QW	0.9472656	Unknown	2045	9745	34224	3196	18325	41767	0.4370357	0.7493356	 	0.004810996	 	0		0.00		5709351001	R08C02
14	14ncorr	0	855	B00D6R4	0.9420573	Unknown	1985	9673	33703	3296	17683	42356	0.4387361	0.7502677	 	0.002073255	 	0		0.00		5709351001	R08C03
9	9ncorr	0	856	B00D6RB	0.9492188	Unknown	1611	7444	29447	2926	17454	40471	0.4307541	0.7493242	 	0.002743484	 	0		0.00		5709351001	R08C04
2	2ncorr	0	857	B00D6RJ	0.9375	Unknown	1559	7501	28017	2754	15803	38751	0.4469678	0.7517449	 	 	0.0125	0		0.00		5709351029	R08C01
7	7ncorr	0	858	B00D6RR	0.9381511	Unknown	1585	7317	28372	2628	14552	38791	0.436291	0.7513589	 	0.006245663	 	0		0.00		5709351029	R08C02
2	2ncorr	0	859	B00D6RZ	0.9407552	Unknown	1562	8531	31169	2369	15260	39024	0.4423215	0.7513749	 	 	0.01453287	0		0.00		5709351029	R08C03
2	2ncorr	0	860	B00D6S7	0.9368489	Unknown	1542	7996	30607	2487	15648	39797	0.4463679	0.7519625	 	 	0.01111883	0		0.00		5709351029	R08C04
1	1ncorr	0	861	B00D6SG	0.9401042	Unknown	1284	6283	25568	2504	15371	38454	0.4383888	0.7511296	 	0.004847645	 	0		0.00		5709351039	R08C01
15	15ncorr	0	862	B00D6SQ	0.9348958	Unknown	1450	6406	25785	2380	13559	35593	0.4423599	0.7508479	 	0.003481894	 	0		0.00		5709351039	R08C02
11	11ncorr	0	863	B00D6SY	0.9433594	Unknown	1173	5636	23302	2287	14907	37331	0.4324216	0.7493804	 	0.004140787	 	0		0.00		5709351039	R08C03
11	11ncorr	0	864	B00D6T7	0.9342448	Unknown	1088	6124	25463	2158	16417	40003	0.4506473	0.7508745	 	0.007665505	 	0		0.00		5709351039	R08C04
10	10ncorr	0	865	B00D6T8	0.9388021	Unknown	1802	7878	30020	2987	15756	38639	0.4397157	0.7508479	 	0.002773925	 	0		0.00		5709351033	R01C01
12	12ncorr	0	866	B00D6TG	0.9355469	Unknown	1727	7731	28272	2744	13915	35533	0.4462811	0.7515529	 	0.004175365	 	0		0.00		5709351033	R01C02
7	7ncorr	0	867	B00D6TO	0.9381511	Unknown	1632	7265	28558	2487	13619	35277	0.4453406	0.7513749	 	0.0055517	 	0		0.00		5709351033	R01C03
1	1ncorr	0	868	B00D6TW	0.9290364	Unknown	1513	7204	27089	2210	12624	33876	0.4463814	0.7519626	 	0.004905396	 	0		0.00		5709351033	R01C04
12	12ncorr	0	869	B00D6U4	0.9381511	Unknown	1367	6775	25947	2026	11928	32700	0.4378335	0.7513749	 	0.003469813	 	0		0.00		5709351024	R01C01
